osmid,name,coordinates
1328214199,Avenue Ferdinand Buisson,"[(2.2537976, 48.8366743), (2.2538264, 48.8366372), (2.2543778, 48.8359915), (2.2544406, 48.8359183), (2.2549814, 48.8352731), (2.2550799, 48.8351766), (2.2551101, 48.8351469)]"
1328214200,Avenue Ferdinand Buisson,"[(2.2535976, 48.8369095), (2.2536635, 48.8368354), (2.2537532, 48.8367314), (2.2537976, 48.8366743)]"
1328214733,Rue Michel-Ange,"[(2.2617734, 48.8451523), (2.2602416, 48.8432934), (2.2601507, 48.8431842)]"
1328214734,Rue Michel-Ange,"[(2.2619171, 48.845317), (2.2618464, 48.8452409), (2.2617734, 48.8451523)]"
1328215004,Boulevard de la Chapelle,"[(2.3593842, 48.8845838), (2.3592526, 48.8845905), (2.3591571, 48.8845845), (2.3591028, 48.8845717), (2.3590701, 48.8845678)]"
1328215006,Boulevard de la Chapelle,"[(2.3595552, 48.8845683), (2.3595102, 48.8845692), (2.3594733, 48.8845764), (2.3593842, 48.8845838)]"
1328215292,,"[(2.2751975, 48.8764951), (2.2752435, 48.8764783)]"
1328215293,,"[(2.2751063, 48.8765282), (2.2751506, 48.8765131), (2.2751975, 48.8764951)]"
1328215294,,"[(2.2753427, 48.8763956), (2.2753653, 48.8763639)]"
1328215295,,"[(2.2752435, 48.8764783), (2.2752735, 48.8764665), (2.2752997, 48.8764488)]"
1328217857,Avenue d'Italie,"[(2.3571058, 48.8263064), (2.3571137, 48.826277)]"
1328217858,Avenue d'Italie,"[(2.3571959, 48.8260363), (2.3572318, 48.8259195)]"
1328219569,Boulevard Exelmans,"[(2.2626961, 48.842051), (2.2620255, 48.8423518), (2.2619401, 48.8423552)]"
1328219570,Boulevard Exelmans,"[(2.2628159, 48.8419967), (2.262771, 48.8420174), (2.2626961, 48.842051)]"
1328220088,Quai d'Austerlitz,"[(2.3676632, 48.8419244), (2.3677133, 48.8418854), (2.3678049, 48.8418432), (2.3679257, 48.8418009)]"
1328220089,Quai d'Austerlitz,"[(2.3728014, 48.8382421), (2.3731263, 48.8379364)]"
1328220090,Quai d'Austerlitz,"[(2.3722531, 48.8386666), (2.3723038, 48.8386338), (2.3723485, 48.8386017)]"
1328220091,Quai d'Austerlitz,"[(2.3723485, 48.8386017), (2.3726246, 48.8384031), (2.3726942, 48.8383397)]"
